set_num,name,rrp_eur,lego_url,retailer_urls
10276,Colosseum,549.99,https://www.lego.com/de-de/product/colosseum-10276,
10281,Bonsai Tree,49.99,https://www.lego.com/de-de/product/bonsai-tree-10281,
10289,Bird of Paradise,99.99,https://www.lego.com/de-de/product/bird-of-paradise-10289,
10300,Back to the Future Time Machine,199.99,https://www.lego.com/de-de/product/back-to-the-future-time-machine-10300,
10302,Optimus Prime,179.99,https://www.lego.com/de-de/product/optimus-prime-10302,
10305,Lion Knights Castle,399.99,https://www.lego.com/de-de/product/lion-knights-castle-10305,
10307,Eiffel Tower,629.99,https://www.lego.com/de-de/product/eiffel-tower-10307,
10311,Orchid,49.99,https://www.lego.com/de-de/product/orchid-10311,
10312,Jazz Club,229.99,https://www.lego.com/de-de/product/jazz-club-10312,
10313,Wildflower Bouquet,59.99,https://www.lego.com/de-de/product/wildflower-bouquet-10313,
10314,Dried Flower Centrepiece,59.99,https://www.lego.com/de-de/product/dried-flower-centrepiece-10314,
10316,The Lord of the Rings Rivendell,499.99,https://www.lego.com/de-de/product/the-lord-of-the-rings-rivendell-10316,
10317,Land Rover Classic Defender 90,239.99,https://www.lego.com/de-de/product/land-rover-classic-defender-90-10317,
10320,Eldorado Fortress,214.99,https://www.lego.com/de-de/product/eldorado-fortress-10320,
10323,PAC-MAN Arcade,269.99,https://www.lego.com/de-de/product/pac-man-arcade-10323,
10327,Dune Atreides Royal Ornithopter,164.99,https://www.lego.com/de-de/product/dune-atreides-royal-ornithopter-10327,
10497,Galaxy Explorer,99.99,https://www.lego.com/de-de/product/galaxy-explorer-10497,
21034,London,44.99,https://www.lego.com/de-de/product/london-21034,
21044,Paris,49.99,https://www.lego.com/de-de/product/paris-21044,
21058,Great Pyramid of Giza,129.99,https://www.lego.com/de-de/product/great-pyramid-of-giza-21058,
21060,Himeji Castle,159.99,https://www.lego.com/de-de/product/himeji-castle-21060,
21061,Notre-Dame de Paris,229.99,https://www.lego.com/de-de/product/notre-dame-de-paris-21061,
21318,Tree House,199.99,https://www.lego.com/de-de/product/tree-house-21318,
21330,Home Alone,269.99,https://www.lego.com/de-de/product/home-alone-21330,
21333,Vincent van Gogh The Starry Night,169.99,https://www.lego.com/de-de/product/vincent-van-gogh-the-starry-night-21333,
21341,Disney Hocus Pocus The Sanderson Sisters Cottage,229.99,https://www.lego.com/de-de/product/disney-hocus-pocus-the-sanderson-sisters-cottage-21341,
21343,Viking Village,139.99,https://www.lego.com/de-de/product/viking-village-21343,
42115,Lamborghini Sian FKP 37,379.99,https://www.lego.com/de-de/product/lamborghini-sian-fkp-37-42115,
42131,App-Controlled Cat D11 Bulldozer,449.99,https://www.lego.com/de-de/product/app-controlled-cat-d11-bulldozer-42131,
42143,Ferrari Daytona SP3,449.99,https://www.lego.com/de-de/product/ferrari-daytona-sp3-42143,
42151,Bugatti Bolide,54.99,https://www.lego.com/de-de/product/bugatti-bolide-42151,
42154,Ford GT,119.99,https://www.lego.com/de-de/product/ford-gt-42154,
42156,PEUGEOT 9X8 24H Le Mans Hybrid Hypercar,199.99,https://www.lego.com/de-de/product/peugeot-9x8-24h-le-mans-hybrid-hypercar-42156,
42171,Mercedes-AMG F1 W14 E Performance,229.99,https://www.lego.com/de-de/product/mercedes-amg-f1-w14-e-performance-42171,
71043,Hogwarts Castle,469.99,https://www.lego.com/de-de/product/hogwarts-castle-71043,
71741,NINJAGO City Gardens,299.99,https://www.lego.com/de-de/product/ninjago-city-gardens-71741,
71799,NINJAGO City Markets,359.99,https://www.lego.com/de-de/product/ninjago-city-markets-71799,
75192,Millennium Falcon,849.99,https://www.lego.com/de-de/product/millennium-falcon-75192,
75313,AT-AT,799.99,https://www.lego.com/de-de/product/at-at-75313,
75341,Luke Skywalker's Landspeeder,199.99,https://www.lego.com/de-de/product/luke-skywalker-s-landspeeder-75341,
75347,TIE Bomber,69.99,https://www.lego.com/de-de/product/tie-bomber-75347,
75355,X-Wing Starfighter,239.99,https://www.lego.com/de-de/product/x-wing-starfighter-75355,
75367,Venator-Class Republic Attack Cruiser,649.99,https://www.lego.com/de-de/product/venator-class-republic-attack-cruiser-75367,
76269,Avengers Tower,499.99,https://www.lego.com/de-de/product/avengers-tower-76269,
76405,Hogwarts Express Collectors' Edition,499.99,https://www.lego.com/de-de/product/hogwarts-express-collectors-edition-76405,
76989,Horizon Forbidden West Tallneck,79.99,https://www.lego.com/de-de/product/horizon-forbidden-west-tallneck-76989,
92176,NASA Apollo Saturn V,119.99,https://www.lego.com/de-de/product/nasa-apollo-saturn-v-92176,
