set_num,name,rrp_eur,lego_url,retailer_urls,ebay_price_eur,ebay_sold
21318,Ideas 21318 Baumhaus / Treehouse,,,,201.60,1852
71043,LEGO® Harry Potter 71043 Schloss Hogwarts NEU & OVP,,,,377.19,1774
76909,LEGO® Speed Champions 76909 Mercedes-AMG F1 W12 & Project One,,,,37.83,1689
10255,LEGO® Creator 10255 Stadtleben Assembly Square NEU OVP EOL!,,,,294.39,1645
21246,Minecraft 21246 Das Duell in der Finsternis,,,,95.99,1281
75383,LEGO® Star Wars 75383 Darth Mauls Sith Infiltrator EOL!,,,,65.79,1184
21343,LEGO® Ideas 21343 Wikingerdorf NEU OVP EXKLUSIV!,,,,125.96,1180
10318,LEGO® Icons 10318 Concorde NEU OVP EXKLUSIV!,,,,174.79,1161
75394,LEGO® Star Wars 75394 Imperialer Sternzerstörer EXKLUSIV!,,,,156.74,1086
21349,LEGO® Ideas 21349 Schwarz-weiße Katze EXKLUSIV,,,,95.00,848
77241,LEGO® Speed Champions 77241 2 Fast 2 Furious Honda S2000,,,,31.00,747
75980,Harry Potter 75980 Angriff auf den Fuchsbau EOL,,,,133.44,714
21330,LEGO® Ideas 21330 McCallister House aus Home Alone,,,,259.47,712
75356,LEGO® Star Wars 75356 Supersternzerstörer Executor,,,,67.00,703
40755,LEGO® Star Wars 40755 Imperial Dropship vs. Rebel Scout Speeder,,,,42.74,654
60467,LEGO® City 60467 Schwerlast-Abschleppwagen mit Kran,,,,99.99,639
10309,LEGO® Creator Expert 10309 Sukkulenten EXKLUSIV NEU OVP,,,,55.00,600
75351,LEGO® Star Wars 75351 Princess Leia (Boushh) Helm NEU OVP,,,,60.44,546
21333,LEGO® Ideas 21333 Vincent van Gogh Sternennacht,,,,154.99,533
10273,LEGO® 10273 Geisterhaus auf dem Jahrmarkt NEU OVP EXKLUSIV,,,,257.59,496
10350,LEGO® Icons 10350 Eckhaus im Tudorstil NEU OVP EXKLUSIV!,,,,201.59,474
10372,LEGO® Icons 10372 Hibiskus EXKLUSIV!,,,,66.93,473
10370,LEGO® Icons 10370 Weihnachtsstern NEU OVP!,,,,52.80,464
10355,LEGO® Icons 10355 Blacktron Renegade NEU OVP EXKLUSIV!,,,,84.59,436
10328,LEGO® Icons 10328 Rosenstrauß NEU OVP,,,,41.00,432
40712,LEGO® 40712 Mikro-Startrampe NEU OVP EXKLUSIV!,,,,33.60,390
76199,LEGO® Super Heroes 76199 Carnage NEU OVP,,,,80.00,378
75810,75810 Stranger Things The Upside Down EOL,,,,671.04,370
10311,Creator Expert 10311 Orchidee,,,,45.00,356
40478,LEGO® 40478 Kleines Disney Schloss NEU OVP,,,,44.99,310
76968,LEGO® Jurassic World 76968 Dino-Fossilien: Tyrannosaurus rex,,,,231.99,301
40573,LEGO® Promotional 40573 Weihnachtsbaum NEU OVP!,,,,39.00,294
40719,LEGO® 40719 Traditionelles Schachspiel NEU OVP EXKLUSIV!,,,,79.99,291
75385,Star Wars 75385 Ahsoka Tanos Duell auf Peridea,,,,67.19,279
10326,LEGO® Icons 10326 Naturhistorisches Museum,,,,287.99,277
76437,LEGO® Harry Potter 76437 Der Fuchsbau Sammleredition,,,,239.99,275
853910,LEGO® 853910 Minifiguren-Keramikbecher NEU OVP,,,,19.19,275
10316,LEGO® Icons 10316 Herr der Ringe - Bruchtal NEU OVP EXKLUSIV!,,,,423.15,273
40649,LEGO® 40649 Große LEGO Minifigur NEU OVP EXKLUSIV!,,,,59.79,270
76440,LEGO® Harry Potter 76440 Trimagisches Turnier: Die Ankunft EOL!,,,,134.99,256
