set_num,name,ebay_list_eur,ebay_coupon_eur,ebay_best_eur,ebay_sold,ebay_url
21318,Ideas 21318 Baumhaus / Treehouse,210.0,201.6,201.6,1852,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=21318
71043,LEGO® Harry Potter 71043 Schloss Hogwarts NEU & OVP,409.99,377.19,377.19,1774,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=71043
76909,LEGO® Speed Champions 76909 Mercedes-AMG F1 W12 & Project One,39.0,37.83,37.83,1689,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=76909
10255,LEGO® Creator 10255 Stadtleben Assembly Square NEU OVP EOL!,319.99,294.39,294.39,1645,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=10255
21246,Minecraft 21246 Das Duell in der Finsternis,99.99,95.99,95.99,1281,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=21246
75383,LEGO® Star Wars 75383 Darth Mauls Sith Infiltrator EOL!,69.99,65.79,65.79,1184,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=75383
21343,LEGO® Ideas 21343 Wikingerdorf NEU OVP EXKLUSIV!,134.0,125.96,125.96,1180,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=21343
10318,LEGO® Icons 10318 Concorde NEU OVP EXKLUSIV!,189.99,174.79,174.79,1161,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=10318
75394,LEGO® Star Wars 75394 Imperialer Sternzerstörer EXKLUSIV!,164.99,156.74,156.74,1086,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=75394
21349,LEGO® Ideas 21349 Schwarz-weiße Katze EXKLUSIV,95.0,,95.0,848,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=21349
77241,LEGO® Speed Champions 77241 2 Fast 2 Furious Honda S2000,31.0,,31.0,747,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=77241
75980,Harry Potter 75980 Angriff auf den Fuchsbau EOL,139.0,133.44,133.44,714,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=75980
21330,LEGO® Ideas 21330 McCallister House aus Home Alone,279.0,259.47,259.47,712,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=21330
75356,LEGO® Star Wars 75356 Supersternzerstörer Executor,67.0,,67.0,703,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=75356
40755,LEGO® Star Wars 40755 Imperial Dropship vs. Rebel Scout Speeder,44.99,42.74,42.74,654,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40755
60467,LEGO® City 60467 Schwerlast-Abschleppwagen mit Kran,99.99,,99.99,639,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=60467
10309,LEGO® Creator Expert 10309 Sukkulenten EXKLUSIV NEU OVP,55.0,,55.0,600,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=10309
75351,LEGO® Star Wars 75351 Princess Leia (Boushh) Helm NEU OVP,64.99,60.44,60.44,546,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=75351
21333,LEGO® Ideas 21333 Vincent van Gogh Sternennacht,159.99,154.99,154.99,533,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=21333
10273,LEGO® 10273 Geisterhaus auf dem Jahrmarkt NEU OVP EXKLUSIV,279.99,257.59,257.59,496,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=10273
10350,LEGO® Icons 10350 Eckhaus im Tudorstil NEU OVP EXKLUSIV!,209.99,201.59,201.59,474,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=10350
10372,LEGO® Icons 10372 Hibiskus EXKLUSIV!,69.0,66.93,66.93,473,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=10372
10370,LEGO® Icons 10370 Weihnachtsstern NEU OVP!,55.0,52.8,52.8,464,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=10370
10355,LEGO® Icons 10355 Blacktron Renegade NEU OVP EXKLUSIV!,89.99,84.59,84.59,436,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=10355
10328,LEGO® Icons 10328 Rosenstrauß NEU OVP,41.0,,41.0,432,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=10328
40712,LEGO® 40712 Mikro-Startrampe NEU OVP EXKLUSIV!,35.0,33.6,33.6,390,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40712
76199,LEGO® Super Heroes 76199 Carnage NEU OVP,80.0,,80.0,378,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=76199
75810,75810 Stranger Things The Upside Down EOL,699.0,671.04,671.04,370,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=75810
10311,Creator Expert 10311 Orchidee,45.0,,45.0,356,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=10311
40478,LEGO® 40478 Kleines Disney Schloss NEU OVP,44.99,,44.99,310,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40478
76968,LEGO® Jurassic World 76968 Dino-Fossilien: Tyrannosaurus rex,234.99,231.99,231.99,301,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=76968
40573,LEGO® Promotional 40573 Weihnachtsbaum NEU OVP!,39.0,,39.0,294,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40573
40719,LEGO® 40719 Traditionelles Schachspiel NEU OVP EXKLUSIV!,79.99,,79.99,291,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40719
75385,Star Wars 75385 Ahsoka Tanos Duell auf Peridea,69.99,67.19,67.19,279,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=75385
10326,LEGO® Icons 10326 Naturhistorisches Museum,299.99,287.99,287.99,277,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=10326
76437,LEGO® Harry Potter 76437 Der Fuchsbau Sammleredition,239.99,,239.99,275,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=76437
853910,LEGO® 853910 Minifiguren-Keramikbecher NEU OVP,19.99,19.19,19.19,275,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=853910
10316,LEGO® Icons 10316 Herr der Ringe - Bruchtal NEU OVP EXKLUSIV!,455.0,423.15,423.15,273,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=10316
40649,LEGO® 40649 Große LEGO Minifigur NEU OVP EXKLUSIV!,64.99,59.79,59.79,270,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40649
76440,LEGO® Harry Potter 76440 Trimagisches Turnier: Die Ankunft EOL!,139.99,134.99,134.99,256,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=76440
60440,LEGO® City 60440 Sattelzug NEU OVP EOL!,109.0,99.19,99.19,250,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=60440
43242,LEGO® Disney 43242 Hütte Schneewittchen und sieben Zwerge NEU OVP!,299.99,269.99,269.99,232,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=43242
21338,LEGO® Ideas 21338 Finnhütte NEU OVP! EOL!,199.99,,199.99,222,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=21338
